,id,label_name,annotation,name
928,928,Black Phoebe,,Black Phoebe
929,929,Eastern Phoebe,,Eastern Phoebe
930,930,Say's Phoebe,,Say's Phoebe
931,931,Ash-throated Flycatcher,,Ash-throated Flycatcher
932,932,Great Crested Flycatcher,,Great Crested Flycatcher
933,933,Cassin's Kingbird,,Cassin's Kingbird
934,934,Western Kingbird,,Western Kingbird
935,935,Eastern Kingbird,,Eastern Kingbird
936,936,Scissor-tailed Flycatcher,,Scissor-tailed Flycatcher
937,937,Loggerhead Shrike,,Loggerhead Shrike
938,938,Northern Shrike,,Northern Shrike
939,939,White-eyed Vireo,,White-eyed Vireo
940,940,Bell's Vireo,,Bell's Vireo
941,941,Yellow-throated Vireo,,Yellow-throated Vireo
942,942,Plumbeous Vireo,,Plumbeous Vireo
943,943,Cassin's Vireo,,Cassin's Vireo
944,944,Blue-headed Vireo,,Blue-headed Vireo
945,945,Hutton's Vireo,,Hutton's Vireo
946,946,Warbling Vireo,,Warbling Vireo
947,947,Red-eyed Vireo,,Red-eyed Vireo
948,948,Gray Jay,,Gray Jay
949,949,Steller's Jay,,Steller's Jay
950,950,Blue Jay,,Blue Jay
951,951,Florida Scrub-Jay,,Florida Scrub-Jay
952,952,Western Scrub-Jay,,Western Scrub-Jay
953,953,Mexican Jay,,Mexican Jay
954,954,Clark's Nutcracker,,Clark's Nutcracker
955,955,Black-billed Magpie,,Black-billed Magpie
956,956,Yellow-billed Magpie,,Yellow-billed Magpie
957,957,American Crow,,American Crow
958,958,Yellow-rumped Warbler (Breeding Audubon's),Breeding Audubon's,Yellow-rumped Warbler
959,959,Purple Martin (Female/juvenile),Female/juvenile,Purple Martin
960,960,American Robin (Juvenile),Juvenile,American Robin
961,961,Phainopepla (Male),Male,Phainopepla
962,962,Snow Bunting (Nonbreeding),Nonbreeding,Snow Bunting
963,963,Common Yellowthroat (Female/immature male),Female/immature male,Common Yellowthroat
964,964,American Redstart (Female/juvenile),Female/juvenile,American Redstart
965,965,Magnolia Warbler (Female/immature male),Female/immature male,Magnolia Warbler
966,966,"Bay-breasted Warbler (Female, Nonbreeding male, Immature)","Female, Nonbreeding male, Immature",Bay-breasted Warbler
967,967,Chestnut-sided Warbler (Female/immature male),Female/immature male,Chestnut-sided Warbler
968,968,Blackpoll Warbler (Female/juvenile),Female/juvenile,Blackpoll Warbler
969,969,Black-throated Blue Warbler (Female/Immature male),Female/Immature male,Black-throated Blue Warbler
970,970,Lark Bunting (Female/Nonbreeding male),Female/Nonbreeding male,Lark Bunting
971,971,White-throated Sparrow (Tan-striped/immature),Tan-striped/immature,White-throated Sparrow
972,972,Harris's Sparrow (Immature),Immature,Harris's Sparrow
973,973,White-crowned Sparrow (Immature),Immature,White-crowned Sparrow
974,974,Golden-crowned Sparrow (Immature),Immature,Golden-crowned Sparrow
975,975,Dark-eyed Junco (White-winged),White-winged,Dark-eyed Junco
976,976,Chipping Sparrow (Immature/nonbreeding adult),Immature/nonbreeding adult,Chipping Sparrow
977,977,Scarlet Tanager (Female/Nonbreeding Male),Female/Nonbreeding Male,Scarlet Tanager
978,978,Western Tanager (Female/Nonbreeding Male),Female/Nonbreeding Male,Western Tanager
979,979,Northern Cardinal (Female/Juvenile),Female/Juvenile,Northern Cardinal
980,980,Rose-breasted Grosbeak (Female/immature male),Female/immature male,Rose-breasted Grosbeak
981,981,Black-headed Grosbeak (Female/immature male),Female/immature male,Black-headed Grosbeak
982,982,Blue Grosbeak (Female/juvenile),Female/juvenile,Blue Grosbeak
983,983,Lazuli Bunting (Female/juvenile),Female/juvenile,Lazuli Bunting
984,984,Indigo Bunting (Female/juvenile),Female/juvenile,Indigo Bunting
985,985,Painted Bunting (Female/juvenile),Female/juvenile,Painted Bunting
986,986,Bobolink (Female/juvenile/nonbreeding male),Female/juvenile/nonbreeding male,Bobolink
987,987,Red-winged Blackbird (Female/juvenile),Female/juvenile,Red-winged Blackbird
988,988,Yellow-headed Blackbird (Female/Immature Male),Female/Immature Male,Yellow-headed Blackbird
989,989,Brewer's Blackbird (Male),Male,Brewer's Blackbird
990,990,Brown-headed Cowbird (Female/Juvenile),Female/Juvenile,Brown-headed Cowbird
991,991,Hooded Oriole (Female/Immature male),Female/Immature male,Hooded Oriole
992,992,Bullock's Oriole (Female/Immature male),Female/Immature male,Bullock's Oriole
993,993,Baltimore Oriole (Female/Immature male),Female/Immature male,Baltimore Oriole
994,994,Pine Grosbeak (Female/juvenile),Female/juvenile,Pine Grosbeak
995,995,Purple Finch (Female/immature),Female/immature,Purple Finch
996,996,Cassin's Finch (Female/immature),Female/immature,Cassin's Finch
997,997,House Finch (Female/immature),Female/immature,House Finch
998,998,Red Crossbill (Female/juvenile),Female/juvenile,Red Crossbill
999,999,White-winged Crossbill (Female/juvenile),Female/juvenile,White-winged Crossbill
1000,1000,Lesser Goldfinch (Female/juvenile),Female/juvenile,Lesser Goldfinch
1001,1001,American Goldfinch (Female/Nonbreeding Male),Female/Nonbreeding Male,American Goldfinch
1002,1002,Evening Grosbeak (Female/Juvenile),Female/Juvenile,Evening Grosbeak
1003,1003,House Sparrow (Female/Juvenile),Female/Juvenile,House Sparrow
1004,1004,"Vermilion Flycatcher (Female, immature)","Female, immature",Vermilion Flycatcher
1005,1005,European Starling (Juvenile),Juvenile,European Starling
1006,1006,Fox Sparrow (Thick-billed/Slate-colored),Thick-billed/Slate-colored,Fox Sparrow
1007,1007,Summer Tanager (Immature Male),Immature Male,Summer Tanager
1008,1008,Orchard Oriole (Female/Juvenile),Female/Juvenile,Orchard Oriole
1009,1009,Yellow-rumped Warbler (Winter/juvenile Audubon's),Winter/juvenile Audubon's,Yellow-rumped Warbler
1010,1010,Dark-eyed Junco (Red-backed/Gray-headed),Red-backed/Gray-headed,Dark-eyed Junco
